machine,emptyness_version,isVisible_version,Ind-X,model_id,date_trained,val_acc,val_loss,test_acc,test_loss
1080_gpu1,Balanced,62,0,-1,20210320,0.4436796,1.0,0.700964,1.0
1080_gpu0,Balanced,14,0,-1,20210320,0.464367,1.0,0.694662,1.0
1080_gpu1,Balanced,62,0,0,20210325,0.4459132254123688,5.171158790588379,0.6911569237709045,1.8740657567977905
1080_gpu0,Balanced,14,0,0,20210325,0.46706143021583557,5.693108558654785,0.7471071481704712,1.5311329364776611
1080_gpu1,Balanced,62,0,1,20210326,0.44898954033851624,5.591093063354492,0.716589093208313,1.737548828125
1080_gpu0,Balanced,14,0,1,20210326,0.46089860796928406,6.706672668457031,0.7247107028961182,1.9538917541503906
1080_gpu0,Balanced,14,0,2,20210327,0.4467667043209076,5.234395980834961,0.6649869084358215,1.7873916625976562
1080_gpu1,Balanced,62,0,2,20210327,0.4479285776615143,6.153719425201416,0.738696813583374,1.8381441831588745
1080_gpu1,Balanced,62,0,3,20210328,0.4528476297855377,6.192244052886963,0.7134308218955994,1.9519524574279785
1080_gpu0,Balanced,14,0,3,20210328,0.4670306444168091,6.647139549255371,0.729003369808197,1.8869110345840454
1080_gpu0,Balanced,14,0,4,20210329,0.45420724153518677,5.567521095275879,0.7366554737091064,1.5743907690048218
1080_gpu1,Balanced,62,0,4,20210329,0.4580915570259094,5.95205020904541,0.7182513475418091,1.791548490524292
small_1,Overfit,62,0,-1,20210320,0.4239886,1.0,0.6441199,1.0
small_1,Overfit,62,0,0,20210325,0.41894009709358215,6.354282855987549,0.7167563438415527,1.874277114868164
small_1,Overfit,62,0,1,20210326,0.41779041290283203,6.046065330505371,0.6748654842376709,1.891851544380188
small_1,Overfit,62,0,2,20210328,0.4304811954498291,7.296927452087402,0.726172149181366,1.907777190208435
small_1,Overfit,62,0,3,20210329,0.41982871294021606,7.383231163024902,0.713105320930481,2.1424124240875244
small_2,Overfit,14,0,-1,20210320,0.421454,1.0,0.653069,1.0
small_2,Overfit,14,0,0,20210325,0.4197638928890228,5.2329182624816895,0.7081987261772156,1.5488544702529907
small_2,Overfit,14,0,1,20210327,0.4357246458530426,6.99122428894043,0.7065832018852234,1.9471368789672852
small_2,Overfit,14,0,2,20210327,0.4181464910507202,5.27993631362915,0.6760904788970947,1.7225223779678345
small_2,Overfit,14,0,3,20210328,0.4298558831214905,6.37420654296875,0.7047657370567322,1.7617501020431519
small_2,Overfit,14,0,4,20210329,0.42069053649902344,5.977627277374268,0.6950727105140686,1.6954692602157593
small_3,Siam,14,0,-1,20210320,0.452531,1.0,0.686525,1.0
small_3,Siam,14,0,0,20210326,0.44802096486091614,6.518069267272949,0.7017477750778198,1.9430396556854248
small_3,Siam,14,0,1,20210328,0.458125501871109,6.8858160972595215,0.7299379706382751,1.8920451402664185
small_3,Siam,14,0,2,20210329,0.4464849829673767,5.338316917419434,0.6573952436447144,1.8561362028121948
small_3,Siam,14,0,3,20210330,0.4564919173717499,5.875500202178955,0.6867130398750305,1.9647618532180786
small_4,Siam,62,0,-1,20210320,0.450034,1.0,0.701707,1.0
small_4,Siam,62,0,0,20210326,0.44504979252815247,5.7099809646606445,0.7100769877433777,1.8126733303070068
small_4,Siam,62,0,1,20210328,0.45801523327827454,5.902088642120361,0.7243053317070007,1.685991644859314
small_4,Siam,62,0,2,20210329,0.44336795806884766,5.509252071380615,0.6842986345291138,1.79118812084198
small_4,Siam,62,0,3,20210330,0.4487702250480652,6.3601393699646,0.7189487814903259,1.857767105102539
small_5,Overfit,62,0,0,20210325,0.4047386348247528,5.204170227050781,0.6300922632217407,1.917717695236206
small_5,Overfit,62,0,1,20210326,0.4181625247001648,5.935545921325684,0.6931206583976746,1.8538590669631958
small_5,Overfit,62,0,2,20210327,0.41846799850463867,6.15902853012085,0.6712144613265991,1.9081417322158813
small_5,Overfit,62,0,3,20210328,0.4318307936191559,7.107967376708984,0.7417371273040771,1.8396450281143188
small_5,Overfit,62,0,4,20210330,0.4177737534046173,7.345098972320557,0.705226719379425,1.8833765983581543
small_6,Overfit,14,0,0,20210326,0.431647390127182,7.192576885223389,0.7312197089195251,1.7802783250808716
small_6,Overfit,14,0,1,20210327,0.43147891759872437,7.19000244140625,0.6878029108047485,2.162083387374878
small_6,Overfit,14,0,2,20210328,0.4246273636817932,6.231443881988525,0.6835622191429138,1.9531879425048828
small_6,Overfit,14,0,3,20210329,0.4128955006599426,5.310581207275391,0.6762924194335938,1.7954224348068237
small_6,Overfit,14,0,4,20210330,0.4219822287559509,5.842642784118652,0.6904281377792358,1.7535134553909302
small_7,Siam,14,0,0,20210325,0.4454781413078308,5.9593963623046875,0.7199774384498596,1.8029329776763916
small_7,Siam,14,0,1,20210326,0.43149513006210327,4.888934135437012,0.6677316427230835,1.7115330696105957
small_7,Siam,14,0,2,20210327,0.45093366503715515,5.956037521362305,0.7107686400413513,1.693648099899292
small_7,Siam,14,0,3,20210329,0.4536460041999817,6.427215576171875,0.659650444984436,2.206900119781494
small_7,Siam,14,0,4,20210330,0.44150206446647644,6.19235372543335,0.7051306366920471,1.7617422342300415
small_8,Siam,62,0,0,20210325,0.4363144338130951,5.399805068969727,0.6737529039382935,1.8152101039886475
small_8,Siam,62,0,1,20210326,0.4383683204650879,5.559633731842041,0.7008704543113708,1.706129550933838
small_8,Siam,62,0,2,20210327,0.44613024592399597,5.583331108093262,0.6983595490455627,1.7041383981704712
small_8,Siam,62,0,3,20210329,0.45714372396469116,6.554884433746338,0.7423836588859558,1.6765029430389404
small_8,Siam,62,0,4,20210330,0.43541744351387024,5.4773359298706055,0.6717442274093628,1.9575940370559692
small_9,Balanced,14,0,0,20210327,0.46714353561401367,6.377687454223633,0.7359089255332947,1.7368842363357544
small_9,Balanced,14,0,1,20210328,0.46210962533950806,5.757994651794434,0.6954087615013123,1.723134994506836
small_9,Balanced,14,0,2,20210329,0.4651320278644562,6.472277641296387,0.7344158291816711,1.9740800857543945
small_9,Balanced,14,0,3,20210330,0.44997894763946533,5.619744777679443,0.7136991620063782,1.6253211498260498
small_10,Balanced,62,0,0,20210326,0.4487864673137665,5.177707672119141,0.7127659320831299,1.6971142292022705
small_10,Balanced,62,0,1,20210327,0.4514566659927368,5.325721263885498,0.7265625,1.6405826807022095
small_10,Balanced,62,0,2,20210328,0.43787217140197754,4.488254547119141,0.6665558218955994,1.646649956703186
small_10,Balanced,62,0,3,20210330,0.4617009162902832,6.146132946014404,0.7342087626457214,1.7591794729232788
