Ilgavaisiai agurkai 1kg,18002,678
18003,18003,60
Trumpavaisiai agurkai 914cm 1kg,18009,976
Apelsinai 45dyd. 1kg,18040,345
18044,18044,4
Arbzai 1kg,18062,300
Baklaanai 1kg,18080,83
Bananai 1kg,18100,1783
vieios bulvs fas. import. 1kg,18164,9
Lietuvikos didels bulvs fasuotos 10k,18166,101
Lietuvikos vieios bulvs fasuot.1kg,18169,215
18174,18174,572
Saldiosios bulvs1 kg,18175,55
Raudonieji burokliai fas. 1kg.,18193,68
Citrinos 13dyd. 1kg,18210,1409
aliosios citrinos 1kg,18213,31
aliosios cukinijos 1kg,18230,276
esnakai 1kg,18252,389
Granatai 1kg,18272,417
Raudonieji greipfrutai dyd. 24 1kg,18292,221
18293,18293,3
Greipfrutai POMELO dyd. 120170mm 1kg,18294,196
Imbier aknys 1kg,18320,252
Kaliarops 1kg,18360,15
Pankoliai 1kg,18362,8
Kiviai dyd. 6065  1kg,18380,492
Pekininis kopstas 1kg,18403,200
Raudongiai kopstai 1kg,18405,9
Baltagiai kopstai 1kg,18408,386
Kriaus CONFERENCE dyd. 4555 1kg,18440,250
Kriaus CONFERENCE 65 1kg,18442,449
Kriaus GUYOT dyd. 60 1kg,18448,3
Kriaus RED COMICE 75 1kg,18457,11
Kriaus LUCAS 75 1kg,18462,8
Lenkikos kriaus CLAPSA 60 1kg,18465,49
Mandarinai 45dyd. 1kg,18500,739
18506,18506,22
Geltoni melionai 1kg,18540,196
Melionai PIEL de SAPO 1kg,18543,9
Moligai 1kg,18545,56
Pastarnokai1kg,18560,34
Plautos morkos 1kg,18562,1705
Plautos morkos fas. 1kg,18563,2
Nektarinai 1kg,18570,53
Sveriami fas. liet. obuoliai 55 1kg,18573,31
Obuoliai IDARED kg dyd. 701kg,18577,17
Obuoliai JONAGOLD 90100 1kg,18589,344
Obuoliai GALA dyd. 70 1kg,18600,8
Obuoliai CRIPPS PINK dyd. 65 1kg,18602,715
Fas. obuoliai CHAMPION 65 1kg,18603,24
Lietuviki obuoliai dyd. 60 1kg,18609,39
Obuoliai GOLDEN 70 1kg,18617,220
PERSIMONAI 1kg,18633,1091
Persikai  1kg,18635,25
Geltonosios paprikos dyd. GGG 7090mm,18670,37
Raudonosios paprikos dyd. GGG 7090mm,18674,558
aliosios paprikos dyd. GGG 7090mm,18675,24
Atrioji paprika 1kg,18677,33
Juodieji pomidorai ADORA dyd. 4757 mm,18680,29
Baltoji paprika 1kg,18681,8
Avietiniai pomidorai dyd. B 5767mm,18682,953
Pomidorai 1kg,18692,550
Pomidorai KUMATO dyd. AB 4767mm 1k,18695,12
Pomidorai uaug. po danga dyd. BBB 5,18696,350
18698,18698,104
Smulkiavaisiai slyviniai pomidorai 1kg,18699,152
Porai 1kg,18710,8
paragins pupels1kg,18715,5
Baltieji ridikai 1kg,18730,37
18750,18750,11
Raudonieji ridikliai 1kg,18770,12
