newcode,barcode
991844X00000,991844000000
991844X00000,991844200000
99186XX00000,991868000000
99186XX00000,991869500000
99186XY00000,991868200000
99186XY00000,991869600000
99186XY00000,991869200000
99186XY00000,991869800000
991800X00000,991800300000
991800X00000,991800400000
991800X00000,991800900000
9918XX300000,991857300000
9918XX300000,991860300000
991840X00000,991840000000
991840X00000,991840800000
991804X00000,991804400000
991804X00000,991804600000
991850X00000,991850000000
991850X00000,991850600000
991816X00000,991816900000
991816X00000,991816000000
991816X00000,991818700000
9921XXX00000,992101300000
9921XXX00000,992194800000
9921XXY00000,992176100000
9921XXY00000,992189300000
992XXXX00000,992211800000
992XXXX00000,992372400000
