"Ilgavaisiai agurkai, 1kg",18002,976
Trumpavaisiai agurkai 1216cm 1kg,18003,104
"Trumpavaisiai agurkai 9-12cm ,1kg",18009,1286
"Apelsinai 4/5dyd. Valencija, 1kg",18040,485
Sveriami fas. apelsinai NAVELINA 1kg dy,18044,4
"Arbūzai, 1kg",18062,380
"Baklažanai, 1kg",18080,122
"Bananai, 1kg",18100,2636
"Šviežios bulvės, fas. (import.), 1kg",18164,9
"Lietuv. did. bulvės (fas.po 10kg), 1kg",18166,134
"Lietuviškos šviežios bulvės fasuot.,1kg",18169,242
Lietuviškos bulvės did. (fas.) 1kg,18174,812
"Saldžiosios bulvės,1 kg",18175,85
Raudonieji burokėliai (fas.) 1kg.,18193,108
"Citrinos 1-4dyd. Verna, 1kg",18210,1947
"Žaliosios citrinos, 1kg",18213,54
"Žaliosios cukinijos, 1kg",18230,348
"Česnakai, 1kg",18252,558
"Granatai, 1kg",18272,557
"Raudonieji greipfrutai , 1kg",18292,251
Raudonieji greipfrutai POMELO dyd. 120,18293,9
Greipfrutai POMELO dyd. 120170mm 1kg,18294,281
"Imbiero šaknys, 1kg",18320,314
"Kaliaropės, 1kg",18360,25
"Pankoliai, 1kg",18362,10
"Kiviai dyd. 60-65 , 1kg",18380,602
"Pekininis kopūstas, 1kg",18403,236
"Raudongūžiai kopūstai, 1kg",18405,13
"Baltagūžiai kopūstai, 1kg",18408,494
"Kriaušės CONFERENCE dyd. 45/55, 1kg",18440,338
"Kriaušės CONFERENCE 65+, 1kg",18442,518
Kriaus GUYOT dyd. 60 1kg,18448,5
Kriaus RED COMICE 75 1kg,18457,20
Kriaus LUCAS 75 1kg,18462,9
"Lenkiškos kriaušės CLAPSA 60+, 1kg",18465,85
"Mandarinai 4/5dyd., 1kg",18500,1116
"Did. mandarinai 1/2dyd. ORTANIQUE, kg",18506,47
"Geltoni melionai, 1kg",18540,241
"Melionai PIEL de SAPO, 1kg",18543,9
"Moliūgai, 1kg",18545,63
"Pastarnokai,1kg",18560,49
