"Ilgavaisiai agurkai, 1kg",18002,1517
Trumpavaisiai agurkai 1216cm 1kg,18003,338
"Trumpavaisiai agurkai 9-12cm ,1kg",18009,1341
"Apelsinai 4/5dyd. Valencija, 1kg",18040,1160
Sveriami fas. apelsinai NAVELINA 1kg dy,18044,29
"Arbūzai, 1kg",18062,381
"Baklažanai, 1kg",18080,207
"Bananai, 1kg",18100,4151
"Šviežios bulvės, fas. (import.), 1kg",18164,9
"Lietuv. did. bulvės (fas.po 10kg), 1kg",18166,192
"Lietuviškos šviežios bulvės fasuot.,1kg",18169,242
Lietuviškos bulvės did. (fas.) 1kg,18174,1453
"Saldžiosios bulvės,1 kg",18175,127
Raudonieji burokėliai (fas.) 1kg.,18193,216
"Citrinos 1-4dyd. Verna, 1kg",18210,2711
"Žaliosios citrinos, 1kg",18213,85
"Žaliosios cukinijos, 1kg",18230,444
"Česnakai, 1kg",18252,833
"Granatai, 1kg",18272,833
"Raudonieji greipfrutai , 1kg",18292,419
Raudonieji greipfrutai POMELO dyd. 120,18293,197
Greipfrutai POMELO dyd. 120170mm 1kg,18294,588
"Imbiero šaknys, 1kg",18320,462
"Kaliaropės, 1kg",18360,48
"Pankoliai, 1kg",18362,24
"Kiviai dyd. 60-65 , 1kg",18380,717
"Pekininis kopūstas, 1kg",18403,374
"Raudongūžiai kopūstai, 1kg",18405,18
"Baltagūžiai kopūstai, 1kg",18408,772
"Kriaušės CONFERENCE dyd. 45/55, 1kg",18440,371
"Kriaušės CONFERENCE 65+, 1kg",18442,686
Kriaus RED COMICE 75 1kg,18457,59
Kriaus LUCAS 75 1kg,18462,9
"Lenkiškos kriaušės CLAPSA 60+, 1kg",18465,148
"Mandarinai 4/5dyd., 1kg",18500,2635
"Did. mandarinai 1/2dyd. ORTANIQUE, kg",18506,316
"Geltoni melionai, 1kg",18540,278
"Melionai PIEL de SAPO, 1kg",18543,9
"Moliūgai, 1kg",18545,85
"Pastarnokai,1kg",18560,82
"Plautos morkos, 1kg",18562,3223
"Plautos morkos fas., 1kg",18563,17
"Nektarinai, 1kg",18570,57
"Fas. liet. obuoliai, 1kg",18573,98
"Obuoliai IDARED, kg (dyd. 80-90),1kg",18577,90
"Obuoliai JONAGOLD 90/100, 1kg",18589,979
Obuoliai CRIPPS PINK dyd. 65 1kg,18602,812
"Fas. obuoliai CHAMPION 65+, 1kg",18603,89
"Lietuviški obuoliai, 1kg",18609,80
"Obuoliai GOLDEN 70+, 1kg",18617,385
"PERSIMONAI, 1kg",18633,2541
"Persikai , 1kg",18635,28
"Geltonoji paprika dyd. G/GG, 1kg",18670,95
"Raudonosios paprikos (90-110mm), 1 kg",18674,1342
"Žaliosios paprikos dyd. G/GG, 1kg",18675,66
"Aštrioji paprika, 1kg",18677,80
Juodieji pomidorai ADORA dyd. 4757 mm,18680,217
"Baltoji paprika, 1kg",18681,11
"Avietiniai pomidorai, 1kg",18682,1094
"Pomidorai, 1kg",18692,1361
"Pomidorai KUMATO, 1kg",18695,30
"Pomidorai (užaug. po danga) dyd. BB,1kg",18696,466
"Slyviniai pomidorai, 1kg",18698,401
"Smulkiavaisiai pomidorai Angelle, 1kg",18699,708
"Porai, 1kg",18710,17
"Baltieji ridikai, 1kg",18730,103
"Juodieji ridikai, 1kg",18750,34
"Raudonieji ridikėliai, 1kg",18770,29
"Salierų gumbai, 1kg",18780,240
Salierų stiebai 1kg,18790,89
"Slyvos, 1kg",18810,88
"Fasuoti svogūnai, 1kg",18822,1727
"Raudonieji svogūnai, 1kg",18823,440
"Balti svogūnai, 1kg",18825,300
"Raudonosios vynuogės, 1kg",18840,299
Mlynosios vynuogs 1kg,18842,23
"Žaliosios vynuogės, 1kg",18843,367
"Džiovinti abrikosai, 1kg",19002,36
"Anakardžių riešutai, 1kg",19020,20
"Bananų traškučiai, 1kg",19041,17
"Džiovintos datulės be kaulo, 1kg",19061,28
Graikiniai rieutai su kevalu 1kg,19081,31
"Graikinių riešutų branduoliai, 1kg",19082,60
"Džiovintų spanguolių puselės, 1kg",19083,26
"Lazdynų riešutų branduoliai, 1kg",19110,30
"Lazdynų riešutai su kevalu, 1kg",19111,10
"Migdolų riešutai, 1kg",19120,54
"Pistacijos kepintos ir sūdytos, 1kg",19151,36
"Razinos, 1kg",19164,60
"Razinos JUMBO, 1kg",19165,21
"Razinos GOLDEN JUMBO, 1kg",19166,12
"Saulėgrąžų branduoliai, 1kg",19180,15
"Nelukštentos saulėgrąžos (dryžuotos),1kg",19181,14
"Riešutų ir razinų mišinys GAR2, 1kg",19200,66
Riešutų mišinys GAR2,19202,42
"Žemės riešutų branduoliai, 1kg",19220,15
"Žemės riešutai be odelės, 1kg",19221,12
"Žemės riešutai su kevalu, 1kg",19223,20
"Kepinti ir sūdyti žemės riešutai, 1kg",19226,13
"Skrudinti žemės rieš.su medumi  JĖGA,1kg",19232,12
"Pekano riešutai, 1 kg",19300,31
Saldainiai LAIMOVOJE TRULIALIA,21005,18
Saldainiai ZOLOTOJ STEP,21009,16
Sald.KONAFETTO su lazd. rieš.kremu,21013,10
Saldainiai SLAST,21016,13
Saldainiai MASKA,21017,94
DarLeta ernosliv kremmoloko v ok.,21018,12
Saldainiai KROWKA KRUCHUTKA,21021,157
Irisas KRĖPYŠ,21023,9
Karamelė VKUSIA MIX,21024,16
Saldainiai CHOCO LUCK su aguonomis,21026,95
Saldainiai MURKINY ZABAVY,21033,14
Saldainiai ATTACHE,21034,25
"Saldainiai KOROVKA Sufle,1kg",21040,71
Saldainiai MARMELADUKAI,21042,13
Saldainiai NOMEDA,21058,289
Saldainiai PERGALĖ Cherry,21059,130
Sald.SWEET TRAVEL su karam.ir ž.rieš.,21066,12
Zefyras su sausaniu ŽOZEFINA,21075,14
Sald. MALENKOJE IUDO SLIVONOJE,21076,9
Saldainiai MILK BELL MIX,21087,15
Saulėgrąžų branduolių kozinakas,21088,202
"Saldainiai su likeriu SOSTINĖS, 1kg",21090,143
Saldainiai PUPA,21092,178
Saldainiai RAUDONOJI AGUONA,21093,164
"Saldainiai VILNIUS, 1kg",21097,221
Saldainiai KREGŽDUTĖ,21098,75
Saldainiai STEP MIX,21104,51
ANANASINIAI saldainiai,21109,324
Saldainiai STEP GRILIAAS,21112,18
Irisai su žel. įd. MINKY-BINKY,21126,16
Saldainiai SOUFFLE SALDI SALA,21133,38
"Saldainiai KRASNAJA ŠAPOČKA,1kg",21134,121
Raugeriškio skonio želiniai saldainiai,21183,148
Saldainiai FRUTLANDIJA,21198,12
Saldainiai POUFFLE,21231,290
Saldainiai ZOLOTOJ KLIUČIK,21237,23
Saldainiai LOIS,21310,81
Saldainiai JOY NUT,21317,11
Saldaini rinkinys SHARLET,21338,9
Saldainiai GOLDEN LILY,21369,19
Saldainiai IO RIO,21377,12
"Saldainiai ZOLUŠKA, 1kg",21388,16
"Saldainiai TOFFE CREAM, 1 kg",21394,23
Karamels skonio sald. ALIONKA 7,21398,15
Saldainiai GLEIS okolado skonio,21415,83
Saldainiai GLEIS griet. skonio,21424,161
Saldainiai VERSAL,21425,20
Citrinų skonio vaflis,21443,28
Saldainiai GULBĖS SAPNAS,21455,239
Sald. BELOVEŽO GIRIA su spang. tyre,21459,199
"Saldainiai KOVBOJ DŽONI,1kg",21475,67
Saldainiai MAMA PRIECHALA,21482,25
Saldainiai KINOCORN,21484,15
Saldainiai MEGA DRIVE,21513,19
"Saulėgrąžų chalva su žem.rieš.,1kg",21528,90
Saulėgr.chalva MILK SOFTNESS,21529,30
992169000000,21690,169
Mlyni skonio karamel JAGODNAJA POLIANA,21700,10
Karamel FUNNY BOOM,21720,21
Karamel ANGRY SOUR,21730,11
Saldainiai BONASIE su lazd.rie.,21740,13
Saldainiai BONASIE su apelsinais,21752,24
Saldainiai BONFETTI NUGA,21754,30
Glaistyta vanilinė saulėgražų chalva,21761,69
Saldainiai TRAŠKUSIS VKUSIA,21762,34
Vir. pieno skonio saldainiai VERŽĖ,21764,19
Saldainiai MANGO,21767,16
Sald. BELOVEO GIRIA su obuol. tyre,21772,110
Sald. NOMEDA Winter time,21773,18
Saldainiai NESTLE LION® MINI,21788,271
Saldainiai KURAGA,21801,48
Saldainiai NOMEDA su imb. ir melionu kg,21808,98
Anyžių skonio karamelė ROSHEN ANIS,21824,95
Saldainiai 'Jelly',21825,23
Saldainiai 'Crazy Bee Frutty',21826,49
Karamelė su pieno įdaru „SWEET DROP“,21829,63
Vafliniai saldainiai LAZY COW,21832,205
Saldainiai ATTACHE Brownie,21844,38
Sald.RAJSKIJE OBLAKA Slivočnoje,21848,71
Saldainiai MIŠKA KOSOLAPYJ,21857,207
Saldainiai IVINKA arbz skonio,21858,26
992186700000,21867,42
Saldainiai ZOLOTAJA LILIJA,21869,116
Vanilinė saulėgražų chalva,21893,167
Saldainiai MILKY SPLASH,21914,52
Vafliniai saldainiai AELITA,21917,11
"Saldainių su įdaru asorti,1kg",21920,172
Saldainiai BOUNTY,21922,84
Saldainiai CAO CACAO TRUFFLE,21943,9
Saldainiai KALD SENELIAI,21947,67
Saldainiai KONAFETTO NERO su d. kg,21948,77
Saldainiai ERNOSLIV,21957,44
Karamelė BARBARIS,21960,43
Karamelė MIATNAJA,21962,22
Saldainiai KORIVKA ROSHEN,21965,75
"Irisas KIS KIS, 1kg",21972,19
Saldainiai LA BOHEME PARFE,21973,31
Karamelė su įdaru BIM BOM,21974,81
Saldainiai LOKYS,21987,23
Šok. saldainiai SNICKERS Mini,21992,226
Šok. saldainiai TWIX Mini,21993,174
Karamel ZOLOTOY RACHOK,21998,10
Saldainiai LINKSMŲ ŠVENČIŲ,21999,42
Meduoliai su vyšnių skonio įdaru,22015,18
KIJEVO traškučiai,22056,34
Pyragėliai SKARELĖS su obuolių įdaru,22628,45
Bandelės su lašinukų įdaru,22629,85
Varškinės spurgytės atitirpintos,22632,12
Sausainiai Pukite,23683,12
Sausainiai VERNISAŽ,23685,46
