class,product
18002,"Ilgavaisiai agurkai, 1kg"
18003,Trumpavaisiai agurkai 1216cm 1kg
18009,"Trumpavaisiai agurkai 9-12cm ,1kg"
18040,"Oranges"
18044,Sveriami fas. apelsinai NAVELINA 1kg dy
18062,"Arbūzai, 1kg"
18080,"Baklažanai, 1kg"
18100,"Banana"
18164,"Šviežios bulvės, fas. (import.), 1kg"
18166,"Lietuv. did. bulvės (fas.po 10kg), 1kg"
18169,"Lietuviškos šviežios bulvės fasuot.,1kg"
18174,Lietuviškos bulvės did. (fas.) 1kg
18175,"Saldžiosios bulvės,1 kg"
18193,Raudonieji burokėliai (fas.) 1kg.
18210,"Lemons"
18213,"Žaliosios citrinos, 1kg"
18230,"Žaliosios cukinijos, 1kg"
18252,"Česnakai, 1kg"
18272,"Granatai, 1kg"
18292,"Raudonieji greipfrutai , 1kg"
18293,Raudonieji greipfrutai POMELO dyd. 120
18294,Greipfrutai POMELO dyd. 120170mm 1kg
18320,"Imbiero šaknys, 1kg"
18360,"Kaliaropės, 1kg"
18362,"Pankoliai, 1kg"
18380,"Kiviai dyd. 60-65 , 1kg"
18403,"Pekininis kopūstas, 1kg"
18408,"Baltagūžiai kopūstai, 1kg"
18440,"Kriaušės CONFERENCE dyd. 45/55, 1kg"
18442,"Kriaušės CONFERENCE 65+, 1kg"
18457,Kriaus RED COMICE 75 1kg
18465,"Lenkiškos kriaušės CLAPSA 60+, 1kg"
18500,"Tangerines"
18506,"Big tangerines"
18540,"Geltoni melionai, 1kg"
18545,"Moliūgai, 1kg"
18560,"Pastarnokai,1kg"
18562,"Plautos morkos, 1kg"
18563,"Plautos morkos fas., 1kg"
18570,"Nektarinai, 1kg"
18573,"Fas. liet. obuoliai, 1kg"
18577,"Obuoliai IDARED, kg (dyd. 80-90),1kg"
18589,"Obuoliai JONAGOLD 90/100, 1kg"
18600,Apples GALA dyd. 70 1kg
18602,Obuoliai CRIPPS PINK dyd. 65 1kg
18603,"Fas. obuoliai CHAMPION 65+, 1kg"
18609,"Lietuviški obuoliai, 1kg"
18617,"Apples Golden"
18633,"Persimmons"
18635,"Persikai , 1kg"
18670,"Geltonoji paprika dyd. G/GG, 1kg"
18674,"Raudonosios paprikos (90-110mm), 1 kg"
18675,"Žaliosios paprikos dyd. G/GG, 1kg"
18677,"Aštrioji paprika, 1kg"
18680,Juodieji pomidorai ADORA dyd. 4757 mm
18681,"Baltoji paprika, 1kg"
18682,"Avietiniai pomidorai, 1kg"
18692,"Tomatoes"
18696,"Tomatoes (užaug. po danga) dyd. BB,1kg"
18698,"Plum tomatoes"
18699,"Smulkiavaisiai pomidorai Angelle, 1kg"
18710,"Porai, 1kg"
18715,paragins pupels1kg
18730,"Baltieji ridikai, 1kg"
18770,"Raudonieji ridikėliai, 1kg"
18780,"Salierų gumbai, 1kg"
18790,Salierų stiebai 1kg
